timestamp,lat,lon,speed,vehicle_count
1996-05-07T12:20:57.736046,53.523429,10.051725,31,2
2017-05-19T22:17:36.526782,53.552931,10.09956,11,10
1995-05-19T22:58:38.770118,53.56104,9.941057,45,8
1979-02-14T11:37:07.542295,53.569718,10.006774,71,4
1998-03-02T17:53:05.908534,53.522964,9.988624,28,7
1983-11-16T06:05:23.227500,53.509794,9.904392,29,4
1973-07-23T12:34:59.018513,53.540776,10.078405,30,9
2008-09-16T16:48:24.115662,53.500791,9.936136,80,5
2021-03-15T21:16:14.105876,53.574318,10.061512,7,9
2023-01-13T05:35:14.827799,53.503579,9.933763,36,2
2004-02-26T14:42:28.877660,53.560655,10.001742,52,4
1985-12-19T12:47:03.450557,53.5108,9.949708,47,4
1982-05-28T22:31:06.948400,53.544138,10.04557,12,1
2016-04-10T13:52:07.188400,53.502254,10.045999,37,6
1979-05-12T18:44:30.665393,53.574938,9.958616,15,2
2022-04-10T03:37:20.360639,53.548164,9.973266,60,3
1994-03-28T07:22:21.236062,53.569016,10.03921,49,10
2012-08-08T21:39:18.735008,53.552316,9.976912,32,1
1993-10-18T09:46:46.895596,53.571289,9.927883,22,1
2011-02-05T02:00:56.860925,53.583298,9.99964,36,2
1984-02-28T04:32:30.332911,53.523668,10.079169,8,6
2022-03-14T06:11:33.499193,53.528682,9.93526,22,8
1992-08-07T04:43:45.823589,53.592613,9.951964,59,1
1977-08-02T12:50:26.256347,53.584845,9.917868,27,3
1972-01-02T02:12:05.939548,53.540832,9.972997,67,6
1980-06-23T12:40:29.657840,53.554949,9.940662,73,2
2002-04-29T03:52:08.690346,53.573842,10.027154,72,10
2016-05-16T15:23:40.345622,53.550659,10.075259,19,1
1986-04-15T03:16:54.873774,53.516718,10.05299,22,7
1988-04-09T05:01:40.538822,53.560059,10.072442,48,1
1977-08-25T15:58:20.680568,53.575331,9.955123,9,7
2019-05-28T17:55:43.695562,53.559313,9.938533,60,3
2013-03-22T15:20:37.816931,53.547945,10.074439,50,9
2023-06-24T12:42:21.388430,53.530274,9.933679,46,1
2004-03-26T12:00:21.297541,53.505833,10.017965,77,7
1991-08-16T05:47:15.700966,53.521068,10.008597,15,5
1972-09-25T04:34:17.680993,53.551486,9.987708,75,4
2006-08-15T04:31:56.705931,53.523965,9.935874,46,9
2013-07-08T23:35:57.318340,53.592425,10.013834,33,9
1979-01-28T23:41:33.717142,53.512745,9.948783,31,8
1974-10-16T15:53:23.644070,53.515109,10.069533,25,9
2014-05-20T17:29:06.616723,53.570558,9.974928,44,1
1993-07-10T06:35:49.120740,53.555838,9.939426,15,5
1984-09-23T19:23:09.896695,53.510892,10.083298,32,7
2023-10-05T19:47:37.387207,53.50568,10.030776,20,7
2005-03-09T19:12:20.783508,53.591336,9.984818,28,3
1979-03-23T13:51:06.681397,53.556166,10.079819,52,9
1981-05-26T15:47:26.311497,53.569304,9.992624,33,10
1976-12-22T06:32:38.014486,53.544035,9.981385,1,4
1975-08-27T14:53:28.917156,53.560345,9.918513,59,7
2017-06-10T14:50:04.095129,53.588821,10.093572,64,9
2012-02-07T13:53:20.811120,53.531587,10.043486,4,5
2013-06-24T02:25:45.855612,53.563505,9.979189,10,6
1974-07-23T05:31:27.682712,53.519142,9.921373,12,9
1981-10-29T02:06:19.501934,53.580056,9.920534,79,2
2001-11-13T03:35:52.583763,53.518318,10.06026,3,3
2001-05-29T14:42:05.082583,53.559861,9.916612,1,1
1974-12-29T19:52:20.387986,53.543097,10.039973,23,10
2010-01-06T23:25:00.334687,53.584564,9.970049,29,5
1984-07-05T20:06:32.733479,53.515484,9.943142,53,8
1982-04-27T05:23:19.134212,53.50242,10.082655,21,4
1992-04-30T15:02:37.159425,53.563239,10.096327,80,8
2002-11-02T03:27:46.601300,53.526686,9.902578,71,4
1999-06-23T00:17:02.146317,53.55805,10.009041,24,9
1987-09-27T10:45:37.287834,53.544987,9.946072,65,5
1999-04-04T17:25:34.341048,53.515621,10.030052,29,2
1976-10-01T09:12:56.418315,53.5546,10.07644,41,6
1972-06-06T12:24:03.932723,53.517882,10.095029,43,6
1995-04-08T04:20:15.933769,53.583586,10.035001,5,8
2012-08-31T20:36:29.767407,53.599298,10.018308,64,7
2017-06-05T15:12:53.010804,53.539559,10.032612,78,10
1980-11-01T01:37:50.336251,53.594368,10.081209,22,1
2020-03-09T09:58:24.849535,53.570918,10.029378,7,7
2019-04-27T11:04:48.009824,53.505158,10.056226,33,7
2004-04-06T10:33:23.601970,53.532889,9.998641,60,4
1995-07-03T07:58:05.358547,53.51728,10.011726,62,5
1974-08-03T23:00:00.739616,53.5115,10.056232,28,3
2024-01-12T09:08:20.620170,53.551606,10.054364,1,1
1975-07-25T05:19:41.680228,53.559497,9.918783,76,7
1979-05-23T13:40:52.288752,53.570501,9.994482,46,8
1987-07-13T22:52:09.909137,53.530742,10.025071,27,2
2006-04-12T17:01:11.248058,53.553715,9.933262,28,8
2021-08-19T05:38:57.266915,53.517802,9.992741,47,10
2020-07-15T11:17:37.456086,53.516222,9.977199,74,8
1973-06-28T06:30:51.026922,53.558814,9.97615,19,6
2011-12-27T13:31:48.363246,53.592892,10.065671,71,4
2018-09-04T07:27:33.601281,53.592639,9.911903,76,2
2014-11-05T14:01:55.200553,53.590996,9.917117,44,10
1979-06-14T13:01:36.910224,53.595531,10.001612,13,8
1987-04-12T08:51:27.725159,53.593393,9.918591,10,10
1976-12-30T21:59:55.668397,53.570328,10.085541,54,1
2004-09-16T18:23:23.572533,53.589721,9.949454,24,7
1978-10-26T00:35:09.102788,53.583647,10.057028,45,5
2024-12-26T08:17:41.873153,53.577165,9.939743,46,1
1985-08-16T21:56:02.606100,53.535118,9.999995,69,7
1972-08-02T04:40:01.796621,53.563821,9.943178,28,3
1979-07-21T00:42:30.995436,53.584426,9.976311,22,6
2006-08-21T16:20:37.564774,53.58581,10.077899,50,5
2000-10-26T21:19:55.134724,53.575698,9.97382,39,2
1995-03-03T06:56:09.543598,53.512125,10.012372,55,1
2022-06-11T14:01:00.050701,53.529535,10.065374,27,9
1973-10-22T16:59:33.673852,53.509122,10.077727,10,1
1971-11-29T13:06:42.391903,53.51495,10.071984,26,1
1974-08-15T03:32:20.325808,53.560524,10.083029,29,4
1977-08-01T00:38:51.331329,53.524535,10.052982,43,9
2019-07-06T08:40:58.882852,53.568846,10.002959,64,1
2004-06-05T18:33:52.256780,53.52111,10.04606,43,2
2002-10-24T22:45:53.160581,53.512993,9.959876,48,5
1974-02-28T07:56:17.587026,53.535674,9.952738,36,7
1994-02-15T23:41:22.178010,53.517991,9.910753,67,7
2010-09-13T16:07:33.114296,53.519323,9.922427,3,4
2020-11-25T18:38:03.315129,53.542461,10.027232,44,2
2012-08-07T10:53:27.899309,53.567322,10.097485,56,9
1971-08-21T17:54:44.203156,53.584752,10.02563,9,9
1994-10-10T16:38:56.421905,53.525989,9.952757,80,10
2010-09-30T06:20:34.971558,53.505231,9.99673,52,4
1996-03-05T23:25:44.220425,53.573122,9.934182,35,6
2024-02-18T16:34:21.997495,53.526486,9.903813,50,1
1972-06-20T16:30:52.069644,53.506123,10.092298,61,1
2004-05-26T10:56:09.721859,53.597381,10.023028,38,8
2012-10-13T23:18:01.967174,53.581984,10.022619,29,10
1986-05-11T18:03:09.653273,53.506054,9.947638,70,4
1986-02-17T11:16:32.424868,53.548842,10.0004,55,10
1991-03-01T12:57:08.534408,53.592909,9.948041,12,2
2020-02-26T16:26:39.379336,53.572397,10.024378,51,5
2013-01-26T04:17:46.202759,53.599648,10.074922,21,2
1997-07-13T05:55:56.622073,53.534946,10.089092,44,9
2020-09-13T17:26:45.171853,53.553948,10.038733,41,9
1983-05-22T05:47:03.392363,53.503464,10.038973,2,7
2013-01-12T05:02:56.936576,53.599851,10.08233,66,5
2001-08-02T02:41:34.268838,53.559921,9.974148,69,7
1971-08-22T23:56:20.016290,53.599297,10.095569,13,9
1983-09-02T04:35:11.989324,53.544874,10.085948,23,1
1999-03-13T22:58:30.233834,53.536889,9.941266,28,4
1979-06-09T13:24:39.924370,53.545648,10.071785,44,2
2021-10-30T19:06:42.880928,53.52658,10.001041,59,7
1975-07-15T16:41:44.266743,53.593435,9.942548,19,3
2017-11-11T12:35:58.076998,53.541383,10.048487,60,6
2024-08-05T01:12:38.426382,53.501389,10.051922,9,5
2017-11-11T12:35:58.076998,53.541383,10.048487,60,6
2017-11-11T12:35:58.076998,53.541383,10.048487,60,6
2017-11-11T12:35:58.076998,53.541383,10.048487,60,6
2024-08-05T01:12:38.426382,53.501389,10.051922,9,5
1993-10-29T18:51:32.046302,53.541079,9.974631,38,3
2025-02-07T21:22:55.123491,53.530776,10.09814,61,9
2001-11-15T06:20:09.678912,53.536882,10.077532,60,7
2008-03-14T20:01:43.754461,53.524975,9.917816,50,3
1978-03-24T04:00:41.359494,53.52316,9.994306,64,9
1985-10-06T16:23:59.009527,53.528502,9.999554,66,3
2008-12-06T20:53:18.981508,53.532755,10.076778,51,3
2001-08-08T09:54:24.454993,53.530103,10.077972,68,4
1986-12-17T10:43:26.056928,53.568382,10.07664,53,1
1976-11-21T06:25:11.237541,53.545885,10.064116,42,3
1974-09-23T03:38:53.135737,53.503426,10.077273,6,10
1971-05-09T04:21:33.415596,53.57074,9.973901,4,3
1976-11-17T02:09:22.683639,53.537416,10.062022,40,10
2021-02-03T10:32:58.695166,53.519818,9.980202,57,10
2011-07-16T01:32:14.933111,53.520814,10.03474,29,5
2021-11-15T05:40:15.742227,53.593429,10.058504,76,4
2003-10-22T18:22:07.230187,53.505589,10.025316,77,8
2003-09-21T12:28:26.616826,53.595647,10.06374,9,7
1982-03-10T22:49:52.809757,53.500272,9.960076,79,1
1990-08-23T01:24:26.230799,53.579051,10.044099,9,3
2023-12-13T08:23:02.268884,53.587138,10.067653,11,9
1976-10-21T17:21:44.727541,53.587622,10.080498,43,2
2011-01-22T05:17:52.906327,53.591482,9.923201,13,4
1982-07-20T17:56:03.445627,53.524398,10.066207,29,9
2005-06-05T07:37:20.888560,53.574382,10.034904,27,9
2019-03-26T16:12:50.712332,53.557088,10.009853,53,10
1985-03-31T09:35:19.039496,53.557524,10.08322,18,10
2024-09-29T09:27:07.344990,53.568054,10.09601,47,4
2025-02-10T16:36:55.587329,53.55306,9.957934,65,2
1986-03-25T20:36:21.784242,53.536969,10.004604,14,10
1989-03-22T23:33:23.841531,53.574059,10.094136,58,8
1974-06-05T22:02:12.516695,53.581002,9.978805,6,3
2022-09-30T08:33:15.363507,53.501815,9.968177,12,1
2020-03-14T08:36:45.558081,53.504318,9.998281,80,9
2018-10-22T14:38:49.260542,53.537488,10.027657,64,8
2008-03-25T18:47:12.536036,53.50918,10.09192,17,8
2017-12-20T23:05:11.519040,53.535888,9.926741,8,2
1979-08-17T17:48:05.840032,53.554441,10.00199,67,5
2016-01-26T09:37:49.460416,53.517639,9.98115,54,4
1991-02-25T03:13:54.702631,53.535574,9.972727,32,8
1986-07-02T01:07:45.740680,53.50775,9.955881,50,5
1992-02-19T10:15:12.923606,53.503602,10.028673,54,7
1970-06-01T05:44:52.706057,53.599583,10.086796,34,1
2011-01-08T01:48:25.425853,53.503185,9.915776,75,8
1990-12-21T01:44:39.904019,53.572164,10.027189,10,6
1983-05-02T17:16:59.830137,53.566851,10.004605,5,2
2001-10-26T12:38:41.712075,53.564373,9.953526,56,8
1999-02-16T21:46:41.467040,53.593509,9.950041,27,1
2009-08-29T23:03:06.785566,53.525171,9.959415,39,2
1970-04-01T17:28:02.788145,53.581254,10.067537,18,3
2012-09-08T05:56:58.451553,53.589466,9.971683,11,2
2004-08-20T17:36:45.385336,53.553828,9.938822,80,3
1970-02-26T18:35:07.911624,53.509726,9.953174,31,1
1993-11-25T14:23:29.014288,53.549839,9.954658,32,2
1989-03-11T05:27:00.957299,53.532076,9.928137,19,5
2006-11-20T16:36:23.897577,53.588598,9.962533,50,10
2008-12-12T17:02:49.246399,53.589754,10.083144,53,9
1984-11-03T14:39:27.055715,53.594595,10.050559,22,2
2007-08-29T11:15:13.931231,53.539768,10.0253,13,9
1983-01-21T03:32:34.053221,53.5443,9.91929,2,7
1977-08-28T03:04:58.551746,53.583655,10.067336,18,9
1975-09-05T19:37:34.628711,53.540577,10.041184,17,9
2001-08-17T14:08:31.586067,53.52808,9.9259,63,4
2000-09-29T02:19:35.998877,53.595613,9.92447,37,5
2013-01-16T10:08:07.218901,53.589887,10.046953,1,6
1978-08-03T09:25:56.831291,53.560226,10.044428,26,10
2001-02-01T02:35:25.628328,53.543845,10.006301,3,5
1976-01-17T17:03:43.477943,53.582396,9.973901,22,10
2021-10-28T09:18:40.624089,53.561851,9.978906,42,5
2016-05-18T13:18:51.390973,53.534735,9.91295,25,2
1995-02-04T10:40:00.483305,53.5441,10.042034,27,7
1985-11-01T01:31:29.236502,53.584013,10.084043,77,5
2002-01-05T10:28:07.683813,53.597702,10.043182,57,10
2025-04-28T17:18:10.203076,53.591686,10.024666,23,7
2014-03-30T22:49:37.359591,53.591155,10.068901,8,3
1988-01-28T23:07:34.169410,53.596095,10.028622,36,2
1976-07-27T09:38:14.024032,53.56524,9.95367,78,7
